Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2017-12-12	2017-11	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		7	100	Song	0	USD	US	0	0.071057000000
2017-12-12	2017-11	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		1	100	Song	0	USD	US	0	0.003926000000
2017-12-12	2017-11	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		1	100	Song	0	USD	US	0	0.001695000000
2017-12-12	2017-11	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		2	100	Song	0	GBP	GB	0	0.033585385640
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		6	100	Song	0	USD	US	0	0.045708000000
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		2	100	Song	0	USD	US	0	0.020196000000
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		101	100	Song	0	USD	US	0	1.019898000000
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		23	100	Song	0	USD	US	0	0.090528000000
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		2	100	Song	0	USD	US	0	0.003662000000
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		2	100	Song	0	USD	US	0	0.004806000000
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		1	100	Song	0	TRY	TR	0	0.005686148160
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		1	100	Song	0	THB	TH	0	0.006052734600
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		2	100	Song	0	RUB	RU	0	0.006217192800
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		2	100	Song	0	PEN	PE	0	0.011730519680
2018-03-03	2017-12	Apple Music	Disasterina	Sometimes You Feel Like a Bitch	QZ9Y21745912		5	100	Song	0	NZD	NZ	0	0.008282450550
